Fecha - Hora, Cuenta, Contenido, Imagen
10:03 AM - 12 Jul 2019,Secretaría Cultura,"#VeranoEsCultura 

En Lobito hipster, el clásico cuento toma un nuevo rumbo narrativo, pues la trama se detona cuando el lobo descubre que los cerdos hacen mal uso del agua y decide visitarlos. 

22 de julio (entrada libre)
17:00 h
C. Cultural Tijuana (@cecut_mx)",https://pbs.twimg.com/media/D_OV43_WsAAGZV1.jpg
9:52 AM - 12 Jul 2019,Secretaría Cultura,"#Entérate 
 
¡@filminlatino celebra su cuarto aniversario con más cine! 

La plataforma de cine en línea del @imcine integrará producciones a su catálogo de más de dos mil títulos disponibles. 
  
Conoce los festejos con funciones especiales  https://bit.ly/2SfqNJt ",https://pbs.twimg.com/media/D_Si_EgXkAAzp5J.jpg
9:27 AM - 12 Jul 2019,Secretaría Cultura,"Quítame el pan, si quieres,

quítame el aire, pero

no me quites tu risa.

No me quites la rosa,

la lanza que desgranas,

el agua que de pronto

estalla en tu alegría,

la repentina ola

de plata que te nace.

Tu Risa. Pablo Neruda (1904-1973)",https://pbs.twimg.com/media/D_SdTZuXkAAF8Ti.jpg
7:18 PM - 11 Jul 2019,Secretaría Cultura,"¡Se acerca la Guelaguetza, una de las celebraciones más grandes de #Oaxaca! 

¿Conoces sus orígenes? 

Su raíz se halla en los antiguos zapotecas y las ofrendas que hacían a los dioses por sus cosechas.

Te contamos más en nuestro blog #CulturaMX  https://bit.ly/30rU8mM ",https://pbs.twimg.com/media/D_OuLYjW4AAKY_V.jpg
6:11 PM - 11 Jul 2019,Secretaría Cultura,"La Secretaría de Cultura trabaja junto con la comunidad cinematográfica en pro de los creadores y las audiencias mexicanas.

#Entérate  https://bit.ly/2G9qw62 ",https://pbs.twimg.com/media/D8UymizXUAA9Gnz.jpg
5:26 PM - 11 Jul 2019,Secretaría Cultura,"#Entérate  Despiden al cronista mexicano Armando Ramírez. Familiares y colegas dicen adiós al escritor tepiteño con emotiva ceremonia en el @CCLXV.

Detalles  https://bit.ly/2XHQQ1O ",https://pbs.twimg.com/media/D_PAHZ0UIAApXUy.jpg
5:26 PM - 11 Jul 2019,Secretaría Cultura,"“De Armando Ramírez todos tenemos su voz. Ahorita pareciera que lo estamos escuchando. Quiero darle mi abrazo solidario a la familia para festejar la vida de alguien que nos dejó a todos algo”, expresó la secretaria @alefrausto.",https://pbs.twimg.com/media/D_PAJFkUwAEnGIK.jpg
5:04 PM - 11 Jul 2019,Secretaría Cultura,"Alejandra Frausto (@alefrausto), secretaria de Cultura de México, y @LucinaJimenez, titular del Instituto Nacional de Bellas Artes y Literatura (@bellasartesinba), acompañaron a la familia del autor de Crónica de los chorrocientos mil días del barrio de Tepito, en su último adiós",https://pbs.twimg.com/media/D_O7_IKU0AEwgb4.jpg
4:45 PM - 11 Jul 2019,Secretaría Cultura,"#VeranoEsCultura 

¿Te interesa el diseño de producción?

El @CCCMexico y la @AcademiaCineMx te invitan a la clase magistral dictada por Paul Harrod, director de animación que trabajó como diseñador de producción en Isla de Perros (2018).

Detalles  https://bit.ly/2JCxAcl ",https://pbs.twimg.com/media/D_OVsgzX4AEJOMi.jpg
4:18 PM - 11 Jul 2019,Secretaría Cultura,"#Entérate 

Ecos de Magdalena Fernández llega al Museo Amparo en #Puebla 

La contemplación del entorno urbano, la naturaleza y la historia del arte son ejes que dan vida a 21 videos y videoinstalaciones que conforman esta muestra. 

Detalles   https://bit.ly/32lzUwT ",https://pbs.twimg.com/media/D_OxpVbWsAAZQ9-.jpg
3:19 PM - 11 Jul 2019,Secretaría Cultura,"En Crónica de los chorrocientos mil días del barrio de Tepito (1989), Armando Ramírez narra una versión popular sobre el origen de la palabra Tepito.

Se remonta a los rondines de policías y la comunicación con su silbato: “Si me pasa algo te-pito, si me quieren robar te-pito”.",https://pbs.twimg.com/media/D_OO69RXkAI4xSX.jpg
2:15 PM - 11 Jul 2019,Secretaría Cultura,"“Como era muy jodido decir que uno era de Tepito, decían ser de la Morelos, del Centro o de la Cuauhtémoc. Mi sentido de pertenencia se desarrolló porque pensaba: ‘ellos niegan de dónde son, pero si yo me niego desaparezco’"".

Armando Ramírez (1952-2019)",https://pbs.twimg.com/media/D_Nxp93XoAAfnWY.jpg
11:17 AM - 11 Jul 2019,Secretaría Cultura,"“El habla de Tepito es literaria, tan literaria como la imaginación en el albur. El albur puede ser muy grosero, pero también súper poético (…) Cómo no voy a querer y darle lustre al habla popular si de ahí provengo”.

Armando Ramírez (1952-2019)",https://pbs.twimg.com/media/D_NsvvVXYAAOAaL.jpg
11:15 AM - 11 Jul 2019,Secretaría Cultura,"In Memoriam 

Amigos y familiares del cronista Armando Ramírez se congregan en el @CCLXV para despedirlo. – at Centro de Creación Literaria Xavier Villaurrutia",https://pbs.twimg.com/media/D_NsmcKWsAEDqeu.jpg
10:10 AM - 11 Jul 2019,Secretaría Cultura,"#VeranoEsCultura 

 ¡Listo el verano cultural para jóvenes!

Tenemos preparado un vasto programa en julio y agosto con conciertos, campamentos artísticos, charlas, esgrima, manejo de drones, cine y muchas actividades más.

Descubre la agenda  https://bit.ly/2YQa0iG ",https://pbs.twimg.com/media/D_NdizzXUAAxrmS.jpg
9:28 AM - 11 Jul 2019,Secretaría Cultura,"¡No te pierdas la apertura de la muestra Joyería en papel! 

Es una exposición de piezas realizadas con papel artesanal, diseñadas por Kiff Slemmons y elaboradas por la cooperativa Arte Papel Vista Hermosa de San Agustín Etla, Oaxaca.

 La cita es este sábado 13 de julio.",https://pbs.twimg.com/media/D_NT3YYXUAAIfKB.jpg
8:10 AM - 11 Jul 2019,Secretaría Cultura,"#CulturaDiversa  
 
Amora se enfrentó a la moral conservadora de la época e incluso fue censurada. 
 
“Me decían que los distribuidores expresaban que no se vendía, pero luego me encontraba gente que me decía que lo estaban buscando y no lo encontraban”, señala la escritora.",https://pbs.twimg.com/media/D_M9XBYXUAE93ro.jpg
8:10 AM - 11 Jul 2019,Secretaría Cultura,"#CulturaDiversa  
 
La novela, de corte feminista, relata la historia de Lupe, quien a través de sus experiencias, su amistad con otras mujeres y su relación amorosa con Claudia invita a las lectoras a reflexionar sobre el “papel” de las mujeres en la sociedad.",https://pbs.twimg.com/media/D_M9Tw4WwAAdgPx.jpg
8:10 AM - 11 Jul 2019,Secretaría Cultura,"#CulturaDiversa  
 
Amora es autoría de Rosa María Roffiel, escritora y periodista mexicana que colaboró en la Revista Fem, publicación pionera en materia de feminismo. 
 
Roffiel también es autora de Corramos libres ahora (1996), una colección de poemas lésbicos.",https://pbs.twimg.com/media/D_M9QA6WkAAnGTL.jpg
8:10 AM - 11 Jul 2019,Secretaría Cultura,"#CulturaDiversa 
 
En 1989 se publicó Amora, considerada la primera novela en México en retratar las relaciones lésbicas y el feminismo. 
 
A 30 años de su publicación, representa un hito en el abordaje de la homosexualidad femenina en la literatura.",https://pbs.twimg.com/media/D_M9I-NXsAIs0yf.jpg
7:16 AM - 11 Jul 2019,Secretaría Cultura,"In Memoriam 

El escritor y periodista Armando Ramírez –célebre cronista del barrio de Tepito– será despedido por la comunidad literaria y su familia en el Centro de Creación Literaria Xavier Villaurrutia (@CCLXV).

Jueves 11 de julio, 11 a 21 h
Nuevo León 91, col. Hipódromo",https://pbs.twimg.com/media/D_MzXd7U0AA5YVe.jpg
6:28 AM - 11 Jul 2019,Secretaría Cultura,"El Instituto Nacional de Lenguas Indígenas marca pauta para lograr una política multilingüe. Para ello es necesario desterrar la visión folclórica y patrimonialista que se tiene de las lenguas indígenas.

Conoce el @INALIMEXICO  https://www.inali.gob.mx ",https://pbs.twimg.com/media/D_Ku73lUEAA-UOO.jpg
5:07 AM - 11 Jul 2019,Secretaría Cultura,"Buenos días Esta es una de las más de 100 piezas que exhibe el Museo de Sitio –inaugurado en febrero– de la Zona Arqueológica El Cerrito, en #Querétaro. La mayoría fueron recuperadas durante los trabajos de exploración en el sitio, tras 24 años de investigaciones arqueológicas.",https://pbs.twimg.com/media/D_K-7-nU0AArDbe.jpg
8:11 PM - 10 Jul 2019,Secretaría Cultura,"Otello, ópera de cuatro actos con música de Giuseppe Verdi, libreto de Arrigo Boito y basada en una obra de Shakespeare, se presenta en el @PalacioOficial de @bellasartesinba. 

Detalles  https://bit.ly/32jZouo ",https://pbs.twimg.com/media/D_Kbut1VUAAw5de.jpg
7:40 PM - 10 Jul 2019,Secretaría Cultura,"#VeranoEsCultura 

En su 10ª edición La ópera es puro cuento… y el ballet también pondrá en escena Pinocho, el ballet, y las óperas La gran búsqueda del tiempo perdido, Elefante y Hansel y Gretel, con el objetivo de promover la cultura de la paz y la convivencia en familia. ",https://pbs.twimg.com/media/D_KRILdU0AA8IQi.jpg
7:40 PM - 10 Jul 2019,Secretaría Cultura,"#VeranoEsCultura 

El Centro Nacional de las Artes (@cenartmx) acerca diferentes expresiones escénicas al público infantil y juvenil a través del ciclo  La ópera es puro cuento… y el ballet también.

Detalles  https://bit.ly/2LOqGTO ",https://pbs.twimg.com/media/D_KQfxMUEAA8nQ5.jpg
6:58 PM - 10 Jul 2019,Secretaría Cultura,"#Entérate  @AlasyRaices se suma a la celebración del Día Internacional de #NelsonMandela  en la @BiblioMexCddela, a través de laboratorios creativos y narraciones orales para niñas, niños y adolescentes.

Detalles  https://bit.ly/2LfeEn6 ",https://pbs.twimg.com/media/D_KJivkUIAEDX4B.jpg
6:27 PM - 10 Jul 2019,Secretaría Cultura,"Se busca defender “aquello que hace mejor al ser humano, aquello que nadie podrá privarle nunca: la creatividad, la posibilidad de transformar el mundo y de tomar en las manos una disciplina artística y transformar la realidad”, reflexionó Alejandra Frausto (@alefrausto). ",https://pbs.twimg.com/media/D_KFdqNU8AAVe5S.jpg
6:27 PM - 10 Jul 2019,Secretaría Cultura,"Asimismo queremos difundir el desarrollo de proyectos artísticos que han trascendido las fronteras de la reclusión. 

Hoy la @CNDH y la Secretaría de Cultura firmamos un convenio de colaboración con el objetivo de llevar prácticas culturales a los Centros Penitenciarios.",https://pbs.twimg.com/media/D_KET1LU0AAcGLM.jpg
6:27 PM - 10 Jul 2019,Secretaría Cultura,"El objetivo es difundir experiencias y buenas prácticas del Sistema Penitenciario Mexicano en materia cultural, para acercar al público en general al trabajo cotidiano que los estados realizan en los Centros de Reinserción Social y que han alcanzado altos estándares de calidad.",https://pbs.twimg.com/media/D_KFnIBU4AAUalV.jpg
